EMG Data
No	Raw Data	Time(Microseconds)
1	615	5489
2	603	10470
3	606	15469
4	726	20470
5	932	25470
6	814	30470
7	547	35469
8	556	40469
9	895	45470
10	590	50543
11	213	55543
12	197	60543
13	738	65543
14	824	70542
15	820	75543
16	896	80543
17	289	85543
18	562	90543
19	631	95542
20	751	100542
21	610	105543
22	189	110543
23	736	115543
24	939	120543
25	806	125543
26	760	130544
27	924	135544
28	454	140543
29	645	145544
30	918	150544
31	594	155544
32	433	160544
33	727	165544
34	467	170543
35	229	175543
36	627	180544
37	891	185544
38	280	190544
39	314	195543
40	817	200543
41	896	205544
42	453	210544
43	150	215544
44	123	220544
45	508	225543
46	558	230543
47	154	235544
48	176	240544
49	776	245544
50	437	250544
51	124	255544
52	652	260543
53	622	265544
54	172	270544
55	51	275471
56	515	280544
57	817	285544
58	258	290545
59	76	295471
60	644	300544
61	338	305545
62	96	310471
63	106	315545
64	543	320545
65	449	325545
66	344	330544
67	98	335471
68	188	340545
69	596	345545
70	668	350545
71	189	355545
72	204	360544
73	296	365545
74	277	370545
75	364	375545
76	448	380544
77	345	385545
78	402	390544
79	444	395545
80	401	400545
81	410	405545
82	474	410545
83	448	415545
84	426	420544
85	566	425545
86	523	430545
87	420	435545
88	454	440545
89	535	445545
90	486	450546
91	448	455546
92	516	460545
93	465	465546
94	390	470545
95	436	475546
96	438	480546
97	358	485546
98	383	490545
99	431	495545
100	352	500619
101	323	505619
102	382	510618
103	363	515619
104	288	520618
105	324	525619
106	327	530619
107	265	535619
108	301	540619
109	339	545618
110	281	550619
111	291	555619
112	321	560619
113	277	565619
114	262	570619
115	297	575619
116	293	580618
117	251	585618
118	292	590619
119	322	595619
120	265	600619
121	254	605619
122	315	610619
123	282	615619
124	248	620619
125	310	625619
126	302	630619
127	241	635619
128	290	640619
129	333	645619
130	283	650619
131	276	655619
132	326	660619
133	282	665619
134	258	670619
135	319	675619
136	313	680619
137	267	685619
138	308	690619
139	341	695619
140	277	700619
141	272	705619
142	328	710619
143	301	715619
144	257	720619
145	297	725619
146	286	730619
147	250	735619
148	294	740619
149	326	745619
150	247	750619
151	248	755619
152	286	760619
153	271	765621
154	241	770621
155	308	775621
156	292	780620
157	225	785620
158	278	790620
159	290	795621
160	267	800620
161	307	805621
162	317	810620
163	286	815620
164	320	820620
165	330	825621
166	431	830621
167	461	835620
168	268	840620
169	293	845620
170	288	850620
171	400	855620
172	367	860621
173	291	865621
174	473	870620
175	361	875620
176	430	880620
177	387	885621
178	354	890621
179	426	895620
180	260	900620
181	280	905621
182	442	910620
183	569	915620
184	405	920621
185	571	925621
186	769	930621
187	376	935622
188	563	940621
189	714	945621
190	249	950622
191	500	955621
192	712	960621
193	211	965622
194	313	970621
195	806	975621
196	841	980621
197	285	985621
198	270	990621
199	806	995621
200	423	1000621
201	342	1005621
202	758	1010621
203	513	1015622
204	162	1020621
205	520	1025621
206	367	1030621
207	447	1035621
208	774	1040621
209	221	1045621
210	208	1050621
211	600	1055622
212	624	1060621
